question_id,question,is_mcq,gold_answer,model_raw_output,model_normalized_answer,parse_success,correct
1,Đạo diễn của bộ phim 'Sài Gòn Yo!' có sự tham gia của Tấn Thi là ai?,True,C,C,C,True,True
2,Phim nào có sự tham gia của cả Hoài Linh và Charlie Chaplin?,True,A,D,D,True,False
3,Phim nào có sự tham gia của cả Trung Dân và Miu Lê?,True,B,B,B,True,True
4,Phim nào có sự tham gia của cả Phi Phụng và Thiên Thủy (diễn viên)?,True,A,B,B,True,False
5,Phim nào có sự tham gia của cả Thanh Vy và Bảo Trúc?,True,B,C,C,True,False
6,Phim nào có sự tham gia của cả Tinna Tình và Thanh Bùi?,True,D,D,D,True,True
7,Phim nào có sự tham gia của cả Mai Thế Hiệp và Lâm Văn Quốc?,True,D,C,C,True,False
8,Phim nào có sự tham gia của cả Thành Nam (diễn viên) và Bé Vỹ?,True,B,B,B,True,True
9,Đạo diễn của bộ phim 'Vali tình yêu' có sự tham gia của Vy Oanh là ai?,True,C,C,C,True,True
10,Phim nào có sự tham gia của cả Huang Kiem và Mạnh Cường?,True,C,C,C,True,True
11,Phim nào có sự tham gia của cả Hải Triều (diễn viên) và Thanh Tâm (diễn viên)?,True,C,C,C,True,True
12,Phim nào có sự tham gia của cả Hoàng Bách và Văn Tùng?,True,B,B,B,True,True
13,Phim nào có sự tham gia của cả Hồng Ánh và Thu Trang?,True,B,D,D,True,False
14,Phim nào có sự tham gia của cả Oanh Kiều và Thanh Thức?,True,C,C,C,True,True
15,Phim nào có sự tham gia của cả Thành Tài và Bé Vỹ?,True,D,C,C,True,False
16,Đạo diễn của bộ phim 'Hello cô Ba' có sự tham gia của Phi Nhung là ai?,True,C,C,C,True,True
17,Phim nào có sự tham gia của cả Ngân Quỳnh và Bùi Tấn Trường?,True,C,C,C,True,True
18,Phim nào có sự tham gia của cả Thu Trang và Miu Lê?,True,B,B,B,True,True
19,Đạo diễn của bộ phim 'Bộ tứ báo thủ' có sự tham gia của Ngọc Giàu là ai?,True,A,B,B,True,False
20,Phim nào có sự tham gia của cả Mạnh Tràng và Kim Ngọc (nghệ sĩ)?,True,B,B,B,True,True
21,Phim nào có sự tham gia của cả Phương Thanh và DJ?,True,D,A,A,True,False
22,Đạo diễn của bộ phim 'Hello cô Ba' có sự tham gia của Trịnh Kim Chi là ai?,True,C,C,C,True,True
23,Phim nào có sự tham gia của cả Bùi Hoàng Huy và Huang Kiem?,True,B,B,B,True,True
24,"Đạo diễn của bộ phim 'Hot boy nổi loạn và câu chuyện về thằng Cười, cô gái điếm và con vịt' có sự tham gia của Huy Cường là ai?",True,A,A,A,True,True
25,Đạo diễn của bộ phim 'Hai Cũ' có sự tham gia của Thùy Liên là ai?,True,D,C,C,True,False
26,Phim nào có sự tham gia của cả Hiếu Hiền và Nikki Dương Nhật Vi?,True,B,B,B,True,True
27,Phim nào có sự tham gia của cả Charlie Nguyễn và Trương Thế Vinh?,True,A,A,A,True,True
28,Phim nào có sự tham gia của cả Mạc Can và Việt Thắng (diễn viên)?,True,A,A,A,True,True
29,Phim nào có sự tham gia của cả Huy Cường và Phúc An?,True,B,C,C,True,False
30,Đạo diễn của bộ phim 'Nụ hôn thần chết' có sự tham gia của Thủy Tiên (ca sĩ) là ai?,True,C,C,C,True,True
31,Phim nào có sự tham gia của cả Mai Trần và Ngọc Oanh?,True,D,C,C,True,False
32,Phim nào có sự tham gia của cả Võ Vĩnh Phúc và Phạm Văn Nhân (diễn viên)?,True,A,A,A,True,True
